,city,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,6.0,93,90,3.6,CL,1619753357
1,taltal,-25.4,-70.4833,17.26,80,0,2.59,CL,1619753358
2,saint-philippe,-21.3585,55.7679,23.0,83,90,4.63,RE,1619753358
3,carnarvon,-24.8667,113.6333,25.0,57,40,8.75,AU,1619753359
4,santona,43.4439,-3.4576,11.11,93,90,1.54,ES,1619753359
5,asau,46.4333,26.4,10.0,62,26,2.33,RO,1619753360
6,riohacha,11.5444,-72.9072,25.21,80,83,3.11,CO,1619753318
7,sheridan,44.8333,-106.9173,15.0,66,1,3.09,US,1619753360
8,vila,42.0304,-8.1588,5.56,90,15,0.89,PT,1619753361
9,puerto lempira,15.2667,-83.7667,25.6,77,2,5.1,HN,1619753361
10,coihaique,-45.5752,-72.0662,9.27,97,80,2.13,CL,1619753362
11,hobart,-42.8794,147.3294,19.44,55,20,3.09,AU,1619753138
12,port hardy,50.6996,-127.4199,11.0,93,90,3.82,CA,1619753303
13,owando,-0.4819,15.8999,21.77,96,100,1.13,CG,1619753363
14,torbay,47.6666,-52.7314,2.78,93,1,4.12,CA,1619753310
15,busselton,-33.65,115.3333,16.67,70,24,0.89,AU,1619753363
16,papagaios,-19.4492,-44.7478,19.3,71,95,4.84,BR,1619753364
17,tasiilaq,65.6145,-37.6368,-2.0,93,99,1.03,GL,1619753293
18,liyang,29.7057,118.2862,26.83,44,0,4.03,CN,1619753365
19,mataura,-46.1927,168.8643,12.78,72,33,5.81,NZ,1619753365
20,hualmay,-11.0964,-77.6139,19.42,85,0,3.4,PE,1619753365
21,canutama,-6.5339,-64.3831,22.98,98,97,0.31,BR,1619753366
22,chuy,-33.6971,-53.4616,13.14,82,0,1.92,UY,1619753366
23,rikitea,-23.1203,-134.9692,25.04,66,85,5.58,PF,1619753217
24,new norfolk,-42.7826,147.0587,19.44,48,26,1.34,AU,1619753259
25,provideniya,64.3833,-173.3,-3.0,86,75,5.0,RU,1619753069
26,abu kamal,34.4506,40.9171,24.09,34,0,4.39,SY,1619753097
27,kaitangata,-46.2817,169.8464,13.33,54,53,6.26,NZ,1619753368
28,luderitz,-26.6481,15.1594,12.96,76,0,9.39,NA,1619753369
29,nicolas bravo,18.45,-88.9167,27.78,78,40,3.6,MX,1619753369
30,yellowknife,62.456,-114.3525,-1.0,55,20,4.63,CA,1619753370
31,baykit,61.67,96.37,4.91,71,96,5.2,RU,1619753370
32,jamestown,42.097,-79.2353,8.33,100,90,5.66,US,1619753684
33,los llanos de aridane,28.6585,-17.9182,18.0,68,40,2.57,ES,1619753371
34,humberto de campos,-2.5983,-43.4611,23.68,94,100,2.66,BR,1619753372
35,ust-kulom,61.6864,53.6902,1.1,61,11,2.36,RU,1619753372
36,puerto baquerizo moreno,-0.9,-89.6,23.78,85,15,4.81,EC,1619753372
37,hermanus,-34.4187,19.2345,10.56,93,61,1.38,ZA,1619753373
