city,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.9167,6.0,93,90,3.6,CL,1619753357
taltal,-25.4,-70.4833,17.26,80,0,2.59,CL,1619753358
saint-philippe,-21.3585,55.7679,23.0,83,90,4.63,RE,1619753358
carnarvon,-24.8667,113.6333,25.0,57,40,8.75,AU,1619753359
santona,43.4439,-3.4576,11.11,93,90,1.54,ES,1619753359
asau,46.4333,26.4,10.0,62,26,2.33,RO,1619753360
riohacha,11.5444,-72.9072,25.21,80,83,3.11,CO,1619753318
sheridan,44.8333,-106.9173,15.0,66,1,3.09,US,1619753360
vila,42.0304,-8.1588,5.56,90,15,0.89,PT,1619753361
puerto lempira,15.2667,-83.7667,25.6,77,2,5.1,HN,1619753361
coihaique,-45.5752,-72.0662,9.27,97,80,2.13,CL,1619753362
hobart,-42.8794,147.3294,19.44,55,20,3.09,AU,1619753138
port hardy,50.6996,-127.4199,11.0,93,90,3.82,CA,1619753303
owando,-0.4819,15.8999,21.77,96,100,1.13,CG,1619753363
torbay,47.6666,-52.7314,2.78,93,1,4.12,CA,1619753310
busselton,-33.65,115.3333,16.67,70,24,0.89,AU,1619753363
papagaios,-19.4492,-44.7478,19.3,71,95,4.84,BR,1619753364
tasiilaq,65.6145,-37.6368,-2.0,93,99,1.03,GL,1619753293
liyang,29.7057,118.2862,26.83,44,0,4.03,CN,1619753365
mataura,-46.1927,168.8643,12.78,72,33,5.81,NZ,1619753365
hualmay,-11.0964,-77.6139,19.42,85,0,3.4,PE,1619753365
canutama,-6.5339,-64.3831,22.98,98,97,0.31,BR,1619753366
chuy,-33.6971,-53.4616,13.14,82,0,1.92,UY,1619753366
rikitea,-23.1203,-134.9692,25.04,66,85,5.58,PF,1619753217
new norfolk,-42.7826,147.0587,19.44,48,26,1.34,AU,1619753259
provideniya,64.3833,-173.3,-3.0,86,75,5.0,RU,1619753069
abu kamal,34.4506,40.9171,24.09,34,0,4.39,SY,1619753097
kaitangata,-46.2817,169.8464,13.33,54,53,6.26,NZ,1619753368
luderitz,-26.6481,15.1594,12.96,76,0,9.39,NA,1619753369
nicolas bravo,18.45,-88.9167,27.78,78,40,3.6,MX,1619753369
yellowknife,62.456,-114.3525,-1.0,55,20,4.63,CA,1619753370
baykit,61.67,96.37,4.91,71,96,5.2,RU,1619753370
jamestown,42.097,-79.2353,8.33,100,90,5.66,US,1619753684
los llanos de aridane,28.6585,-17.9182,18.0,68,40,2.57,ES,1619753371
humberto de campos,-2.5983,-43.4611,23.68,94,100,2.66,BR,1619753372
ust-kulom,61.6864,53.6902,1.1,61,11,2.36,RU,1619753372
puerto baquerizo moreno,-0.9,-89.6,23.78,85,15,4.81,EC,1619753372
hermanus,-34.4187,19.2345,10.56,93,61,1.38,ZA,1619753373
santa vitoria do palmar,-33.5189,-53.3681,13.59,78,0,1.7,BR,1619753373
butaritari,3.0707,172.7902,28.82,71,99,4.28,KI,1619753608
pervomayskoye,43.919,46.7102,12.44,86,100,3.15,RU,1619753374
mormugao,15.4,73.8,29.0,58,1,3.09,IN,1619753375
greytown,-29.0642,30.5928,14.56,93,100,0.76,ZA,1619753375
brownsville,25.9018,-97.4975,26.0,83,75,1.54,US,1619753353
srednekolymsk,67.45,153.6833,-0.74,93,100,3.23,RU,1619753376
bilibino,68.0546,166.4372,-3.89,87,100,5.21,RU,1619753376
kodiak,57.79,-152.4072,7.0,81,40,1.31,US,1619753377
castro,-24.7911,-50.0119,9.37,98,7,1.97,BR,1619753293
saint-leu,-21.15,55.2833,23.0,83,90,4.63,RE,1619753378
klaksvik,62.2266,-6.589,2.0,75,90,1.54,FO,1619753378
palmer,42.1584,-72.3287,12.22,100,90,3.6,US,1619753379
necochea,-38.5473,-58.7368,13.89,84,44,3.13,AR,1619753379
maryville,35.7565,-83.9705,19.0,94,75,6.17,US,1619753105
ilulissat,69.2167,-51.1,1.0,75,100,2.02,GL,1619753263
hilo,19.7297,-155.09,27.0,61,90,3.09,US,1619753380
hithadhoo,-0.6,73.0833,28.73,71,70,2.93,MV,1619753254
bredasdorp,-34.5322,20.0403,10.56,93,4,1.92,ZA,1619753381
longyearbyen,78.2186,15.6401,-7.0,68,40,4.63,SJ,1619753381
norsup,-16.0667,167.3833,27.82,65,75,6.25,VU,1619753382
mar del plata,-38.0023,-57.5575,16.67,88,0,1.54,AR,1619753382
puerto ayora,-0.7393,-90.3518,23.94,86,21,3.72,EC,1619753383
barrow,71.2906,-156.7887,-7.0,86,90,3.09,US,1619753383
ushuaia,-54.8,-68.3,4.0,70,75,1.5,AR,1619753384
portland,45.5234,-122.6762,20.0,42,75,2.06,US,1619753355
port-gentil,-0.7193,8.7815,25.78,84,100,4.07,GA,1619753384
te anau,-45.4167,167.7167,14.87,61,7,1.02,NZ,1619753385
akdepe,42.0551,59.3788,15.0,77,0,9.26,TM,1619753385
vardo,70.3705,31.1107,-2.0,80,75,5.14,NO,1619753386
nesbyen,60.5681,9.1027,-4.44,79,51,1.23,NO,1619753386
yuncheng,35.0231,110.9928,26.63,27,3,6.91,CN,1619753387
sinnamary,5.3833,-52.95,24.78,89,100,2.45,GF,1619753387
wahpeton,46.2652,-96.6059,11.0,37,1,8.23,US,1619753199
cape town,-33.9258,18.4232,15.0,82,20,5.14,ZA,1619753152
qaanaaq,77.484,-69.3632,-3.87,61,100,4.61,GL,1619753238
roshchino,60.2519,29.6085,-1.11,68,13,1.46,RU,1619753388
dharchula,29.85,80.5333,26.31,28,13,1.01,IN,1619753389
albany,42.6001,-73.9662,13.33,89,100,2.59,US,1619753130
kruisfontein,-34.0033,24.7314,12.78,94,100,0.45,ZA,1619753389
